Family,Instance_Name,core_count,memory_mb,AWS_Cost,Total_cost
r5d,r5d.16xlarge,64,524288,4.608,6.048
r5n,r5n.16xlarge,64,524288,4.768,6.208
r6id,r6id.16xlarge,64,524288,4.8384,6.4704
i3,i3.16xlarge,64,499712,4.992,6.592
m6idn,m6idn.16xlarge,64,262144,5.09184,6.30784
r5dn,r5dn.16xlarge,64,524288,5.344,7.014
i4i,i4i.16xlarge,64,524288,5.491,7.691
r6in,r6in.16xlarge,64,524288,5.57856,7.21056
r6idn,r6idn.16xlarge,64,524288,6.25248,7.88448
c5,c5.18xlarge,72,147456,3.06,4.152
c5d,c5d.18xlarge,72,147456,3.456,4.548
c5n,c5n.18xlarge,72,196608,3.888,5.285
c5a,c5a.24xlarge,96,196608,3.696,5.152
c6i,c6i.24xlarge,96,196608,4.08,5.749
c5,c5.24xlarge,96,196608,4.08,5.536
c5ad,c5ad.24xlarge,96,196608,4.128,5.772
m5a,m5a.24xlarge,96,393216,4.128,5.602
m6i,m6i.24xlarge,96,393216,4.608,6.432
m5,m5.24xlarge,96,393216,4.608,6.254
c5d,c5d.24xlarge,96,196608,4.608,6.064
c6id,c6id.24xlarge,96,196608,4.8384,6.5074
r5a,r5a.24xlarge,96,786432,5.424,7.361
m5d,m5d.24xlarge,96,393216,5.424,7.07
c6in,c6in.24xlarge,96,196608,5.4432,7.1122
m6id,m6id.24xlarge,96,393216,5.6952,7.5192
m5n,m5n.24xlarge,96,393216,5.712,7.426
r5,r5.24xlarge,96,786432,6.048,8.208
r6i,r6i.24xlarge,96,786432,6.048,8.496
m5dn,m5dn.24xlarge,96,393216,6.528,8.486
m6in,m6in.24xlarge,96,393216,6.68304,8.50704
r5d,r5d.24xlarge,96,786432,6.912,9.072
r5n,r5n.24xlarge,96,786432,7.152,9.312
r6id,r6id.24xlarge,96,786432,7.2576,9.7056
m6idn,m6idn.24xlarge,96,393216,7.63776,9.46176
r5dn,r5dn.24xlarge,96,786432,8.016,10.522
r6in,r6in.24xlarge,96,786432,8.36784,10.81584
r6idn,r6idn.24xlarge,96,786432,9.37872,11.82672
c6i,c6i.32xlarge,128,262144,5.44,7.665
m6i,m6i.32xlarge,128,524288,6.144,8.576
c6id,c6id.32xlarge,128,262144,6.4512,8.6762
c6in,c6in.32xlarge,128,262144,7.2576,9.4826
m6id,m6id.32xlarge,128,524288,7.5936,10.0256
r6i,r6i.32xlarge,128,1048576,8.064,11.328
m6in,m6in.32xlarge,128,524288,8.91072,11.34272
r6id,r6id.32xlarge,128,1048576,9.6768,12.9408
m6idn,m6idn.32xlarge,128,524288,10.18368,12.61568
i4i,i4i.32xlarge,128,1048576,10.9824,15.3824
r6in,r6in.32xlarge,128,1048576,11.15712,14.42112
r6idn,r6idn.32xlarge,128,1048576,12.50496,15.76896
